metric,label,mean,median,std
label_correlation,false,0.5453333333333333,0.67,0.16664505607021074
label_correlation,half_true,0.8299999999999996,0.83,3.387607712450221e-16
label_correlation,mostly_false,0.8299999999999996,0.83,3.387607712450221e-16
label_correlation,mostly_true,0.5906666666666668,0.67,0.14626224283170594
label_correlation,pof,0.3866666666666667,0.33,0.12887666740841358
label_correlation,true,0.5453333333333333,0.67,0.16664505607021074
layman_xai_truthfulness,false,0.9239999999999999,1.0,0.10503201482372428
layman_xai_truthfulness,half_true,0.8909999999999999,0.86,0.11745431980723108
layman_xai_truthfulness,mostly_false,0.896,0.86,0.12439092992769153
layman_xai_truthfulness,mostly_true,0.9046666666666667,1.0,0.11578021191578626
layman_xai_truthfulness,pof,0.8859999999999999,0.86,0.1098462875865713
layman_xai_truthfulness,true,0.8856666666666666,0.86,0.12781137322803784
short_assessment_truthfulness,false,1.0,1.0,0.0
short_assessment_truthfulness,half_true,1.0,1.0,0.0
short_assessment_truthfulness,mostly_false,0.9333333333333333,1.0,0.2537081317024625
short_assessment_truthfulness,mostly_true,1.0,1.0,0.0
short_assessment_truthfulness,pof,1.0,1.0,0.0
short_assessment_truthfulness,true,0.9666666666666667,1.0,0.18257418583505533
technical_assessment_clarity,false,0.9333333333333333,1.0,0.2537081317024625
technical_assessment_clarity,half_true,0.8,1.0,0.4068381021724863
technical_assessment_clarity,mostly_false,0.9,1.0,0.3051285766293646
technical_assessment_clarity,mostly_true,0.8666666666666667,1.0,0.34574590364176044
technical_assessment_clarity,pof,0.9,1.0,0.30512857662936466
technical_assessment_clarity,true,0.7666666666666667,1.0,0.4301830671520763
technical_xai_clarity,false,0.9003333333333333,0.9299999999999999,0.12024352684085092
technical_xai_clarity,half_true,0.9003333333333333,0.9299999999999999,0.12024352684085092
technical_xai_clarity,mostly_false,0.9339999999999999,1.0,0.10417491921332818
technical_xai_clarity,mostly_true,0.8769999999999999,0.86,0.12354393327183598
technical_xai_clarity,pof,0.9296666666666665,1.0,0.08104844585007566
technical_xai_clarity,true,0.92,0.9299999999999999,0.0892497464499441
xai_description_truthfulness,false,0.9246666666666666,1.0,0.08966348325759521
xai_description_truthfulness,half_true,0.9149999999999999,0.9299999999999999,0.09662404926596552
xai_description_truthfulness,mostly_false,0.9053333333333332,0.86,0.1021740682848885
xai_description_truthfulness,mostly_true,0.8906666666666666,0.86,0.11166246346524172
xai_description_truthfulness,pof,0.9246666666666665,1.0,0.08966348325759523
xai_description_truthfulness,true,0.8813333333333333,0.86,0.12007851837324048
